20702906	23677118	0
227072	489466	1
32681	2972999	3
4106017	4106020	2
14903655	23677114	0
22359305	23677116	0
3558514	23403205	3
2009328	19926790	3
12465490	23677117	0
4960419	4960420	2
1706731	23677113	0
217749	359835	1
8423236	23677112	0
10105251	23677111	0
157745	351289	1
7667	608747	1
299388	741288	1
8489742	18748516	2
640609	755767	1
8612648	19584877	2
2532322	4518934	1
2472150	23677114	0
653424	23677114	0
5567860	22948959	3
4471001	18623182	2
10899182	12098748	3
353068	928484	1
17186354	17186355	2
4487021	23677112	0
17463707	23677116	0
2331294	23677134	0
6988216	12066447	3
11319480	12172484	2
2711645	15571541	2
2532321	16351776	2
3024972	3024979	2
1458628	4518934	2
662161	2641959	2
15497215	16085417	3
250596	13902980	2
1357747	8704581	3
174086	912096	1
9898464	23677114	0
645756	14665079	3
546905	739813	1
3335192	23677159	0
5216727	23677117	0
66299	1284542	3
8612647	18623183	2
2668853	7271784	3
330656	769146	1
346058	470160	1
19092762	23677117	0
367770	13028547	2
12537371	23677115	0
202151	207271	1
174086	652689	1
23312261	23677116	0
28333	646739	1
21224440	23677133	0
311166	383565	1
919257	23677114	0
428050	512227	1
15841714	23677111	0
12172485	16351775	2
5822585	18340402	3
1017586	11803378	1
469341	681079	1
177743	403116	1
2711645	22246375	1
1421557	6061403	2
1458629	21870536	2
1111832	23548073	3
6244936	18731110	2
668660	4660318	3
339301	534739	1
1966263	9088422	2
6420684	23677112	0
132551	9550506	3
2532321	18269745	2
2825450	9275622	3
8704581	12194043	3
6814855	11319479	2
4857356	23677119	0
465563	23677125	0
831649	18731110	2
15687207	20172700	3
18306141	19214554	2
22486859	23677138	0
9563	737699	1
1013338	23677123	0
2721034	7669917	3
4623013	8612647	2
111977	910478	1
10287987	16388707	2
9066291	20660203	3
1966262	1966263	2
114536	511952	1
948486	4623013	2
357575	801886	1
374432	773285	1
14878300	21489105	3
9381655	23677116	0
14564005	23677114	0
975289	14067271	3
125556	147987	3
3905456	16832547	3
4223265	8921716	2
136067	858381	1
13433127	14033995	3
18865693	19660598	3
8087001	20826358	3
640608	681078	1
1966263	3768628	2
111978	202151	1
917831	3022161	3
4892654	22739188	3
18721144	19950886	3
16854018	23677117	0
15291998	23677118	0
