367771	19584877	2
11352932	12174403	3
20091600	23677114	0
11725346	23677118	0
4676914	23677118	0
12728035	20310134	1
230246	927501	1
10373148	23677116	0
359836	748154	1
189777	649639	1
2474381	16743155	2
2936678	5467376	3
597134	672106	1
467550	727183	1
4518933	12678589	2
22430582	23677115	0
53721	563743	1
4659431	14027099	2
16572931	16797428	3
13925272	23677116	0
176128	337051	3
6244937	17456565	2
6680023	22264586	3
112054	13212512	3
418257	3958807	3
300397	636262	1
6061402	11319480	2
7760800	21488869	2
392107	23677117	0
42892	205710	2
234104	14733077	3
124388	910479	1
38361	737699	1
8704580	8868514	2
1421558	12678588	2
9926344	23677119	0
2168322	23672408	3
1079753	23160103	3
3134514	22051326	3
487413	847423	1
216272	216275	2
19833449	23677114	0
2711645	9693856	2
151885	18573528	3
8612647	14183084	2
8072011	16062997	3
10731	513245	1
7795819	23677150	0
6120970	8625347	3
959131	23677116	0
4471001	17456565	2
46158	18490448	3
286788	403115	1
4030775	23677114	0
3783364	23677117	0
860848	935017	1
4957235	6096495	0
948487	13783898	2
2536276	23677119	0
13908	90593	1
